drug_id,target_id,drug_mechanism_of_action_on_target
D00EHX,T42000,Inhibitor
D00BUR,T42724,Modulator
D05XEA,T42748,Partial agonist
D0K8NR,T44141,Modulator
DN48GC,T45086,
DYT9B4,T45086,
D0JI2E,T45151,Inhibitor
D00GXL,T45593,Modulator
D01EJG,T45593,Inhibitor
D02DZK,T45593,
D02IJA,T45593,Modulator
D0I8FS,T45593,Inhibitor
D0P8YJ,T45593,Inhibitor
D0V1FF,T45593,Modulator
D5FSV8,T45593,Inhibitor
D96UBZ,T45593,
DFM7X6,T45593,Inhibitor
DJH56Z,T45593,
DK6BL5,T45593,Inhibitor
DMSL68,T45593,Inhibitor
DO31MK,T45593,Inhibitor
DPU26Z,T45593,
DQ02VJ,T45593,
D0FX8N,T45674,Antagonist
D0G7HO,T45993,Modulator
D02JNY,T46185,Modulator
D07IZF,T46185,Antagonist
D0R1VL,T46185,Modulator
D0X8MZ,T46185,Modulator
D09AOO,T46360,Agonist
D0T0UC,T46360,Agonist
D0Z6IB,T46360,Modulator
D00DRL,T47101,Inhibitor
D06EXI,T47165,Modulator
D09NAF,T48873,Enhancer
D02XJJ,T50942,Modulator
D0L8TN,T50942,Modulator
D0O7DN,T50942,Modulator
D82DMK,T50942,Modulator
D00DRL,T51076,Inhibitor
D06GRK,T51115,Inhibitor
D05EKM,T53024,Modulator
D01MHI,T54128,Modulator
D01WBD,T54128,Agonist
D0A9VO,T54128,Inhibitor
D0AZ5V,T54128,Antagonist
D0B4EV,T54128,Modulator
D0EP5O,T54128,Antagonist
D0G3AR,T54128,Modulator
D0M0HJ,T54128,Modulator
D0S0VZ,T54128,Modulator
D0SP3D,T54128,Agonist
D0XM3S,T54128,Modulator
D0YH9A,T54128,Modulator
DPYA76,T55352,
D02NNV,T55729,Inhibitor
D00DRL,T55781,Inhibitor
D0K8NR,T55860,Modulator
D03SHD,T55936,Inhibitor
DO37EF,T57680,Stimulator
D09TAB,T57700,Inhibitor
D00DRL,T58454,Inhibitor
D07IGC,T58921,Modulator
D0K5ER,T58921,Agonist
D0K8IX,T58921,Agonist
D0ZT8A,T58921,Modulator
D53BEH,T58921,Agonist
D00DRL,T59102,Inhibitor
D01HVZ,T59679,Modulator
D02YKI,T59679,Agonist
